category,domain_name,file_name,file_urls,files,meaning,word
adj.,uchicago_S_Hassan,aḍιʦot,http://dsal.uchicago.edu/dictionaries/hassan/audio//00057.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00057.mp3', 'path': 'uchicago_S_Hassan/aḍιʦot.mp3', 'checksum': '38d23c5e41f6983f6386994581086a95', 'status': 'downloaded'}]",one who has died at very young age,aḍιʦot
n.m.,uchicago_S_Hassan,afgān,http://dsal.uchicago.edu/dictionaries/hassan/audio//00059.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00059.mp3', 'path': 'uchicago_S_Hassan/afgān.mp3', 'checksum': '4219d335b0c8785c4bf9c98c6c094f1e', 'status': 'downloaded'}]","name of a country, Afghanistan",afgān
n.m.,uchicago_S_Hassan,aflātōn,http://dsal.uchicago.edu/dictionaries/hassan/audio//00061.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00061.mp3', 'path': 'uchicago_S_Hassan/aflātōn.mp3', 'checksum': '79820a141b064a6d927f07ce3dd70a49', 'status': 'downloaded'}]","plato- name of a very famous Greek philosopher, boaster",aflātōn
n.m.,uchicago_S_Hassan,afsānι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00064.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00064.mp3', 'path': 'uchicago_S_Hassan/afsānι.mp3', 'checksum': '95bf471adbc1a5ea529ce4dfed705217', 'status': 'downloaded'}]","short story, fiction, concocted story",afsānι
n.f.,uchicago_S_Hassan,afrā-tafrī,http://dsal.uchicago.edu/dictionaries/hassan/audio//00062.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00062.mp3', 'path': 'uchicago_S_Hassan/afrā-tafrī.mp3', 'checksum': '6a090ffbfb3354ab46aafc5592652a35', 'status': 'downloaded'}]","hurly-burly, hurry-scurry, confusion, chaos",afrā-tafrī
n.,uchicago_S_Hassan,afsūs,http://dsal.uchicago.edu/dictionaries/hassan/audio//00066.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00066.mp3', 'path': 'uchicago_S_Hassan/afsūs.mp3', 'checksum': 'd0b334da76aa9cd3a21189e8e68229df', 'status': 'downloaded'}]","alas, sorrow, woe, distress, trouble, remorse, repentance",afsūs
n.f.,uchicago_S_Hassan,afvah,http://dsal.uchicago.edu/dictionaries/hassan/audio//00067.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00067.mp3', 'path': 'uchicago_S_Hassan/afvah.mp3', 'checksum': 'c4b681f1eebe7a05e2091ddbcaf54d9a', 'status': 'downloaded'}]","rumor, doubt",afvah
n.m.,uchicago_S_Hassan,afsar,http://dsal.uchicago.edu/dictionaries/hassan/audio//00065.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00065.mp3', 'path': 'uchicago_S_Hassan/afsar.mp3', 'checksum': '6821e2a33274c1f5992cdc0a4d24c266', 'status': 'downloaded'}]","officer, official, executive, administrator",afsar
v.,uchicago_S_Hassan,afvā pʰə̄lāwun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00069.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00069.mp3', 'path': 'uchicago_S_Hassan/afvā pʰə̄lāwun.mp3', 'checksum': '1eb99956a1a1d96363fd9903ed4371cc', 'status': 'downloaded'}]","to rumor, hearsay, gossip, town-talk",afvā pʰə̄lāwun
n.m.,uchicago_S_Hassan,afvə̄y,http://dsal.uchicago.edu/dictionaries/hassan/audio//00068.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00068.mp3', 'path': 'uchicago_S_Hassan/afvə̄y.mp3', 'checksum': '615ca6643f56d01bc2c053a7329dd141', 'status': 'downloaded'}]",person who is spreading rumor,afvə̄y
n.m.,uchicago_S_Hassan,afšāⁿ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00063.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00063.mp3', 'path': 'uchicago_S_Hassan/afšāⁿ.mp3', 'checksum': 'fc779888d9efaa99a3e997adfab26f1f', 'status': 'downloaded'}]","tinsel, bedecking face, hair etc",afšāⁿ
n.m.,uchicago_S_Hassan,afzal,http://dsal.uchicago.edu/dictionaries/hassan/audio//00070.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00070.mp3', 'path': 'uchicago_S_Hassan/afzal.mp3', 'checksum': 'a33b39046e58cff914bbf2153d31c13c', 'status': 'downloaded'}]","excellent, supreme, outstanding, brilliant",afzal
